Source,Target,Weight
Ayon Roy,Md. Rokonuzzaman Reza,2
Ayon Roy,Partha Protim Datta,2
Ayon Roy,Uzma Hasan,2
Imtiaz Ahmed,Mashrafi Kajol,2
Imtiaz Ahmed,Md. Rokonuzzaman Reza,2
Imtiaz Ahmed,Partha Protim Datta,2
Imtiaz Ahmed,Uzma Hasan,2
Mashrafi Kajol,Md. Rokonuzzaman Reza,2
Mashrafi Kajol,Partha Protim Datta,2
Mashrafi Kajol,Uzma Hasan,2
Md. Rokonuzzaman Reza,Partha Protim Datta,2
Md. Rokonuzzaman Reza,Uzma Hasan,2
Partha Protim Datta,Uzma Hasan,2
Andrew Luxton-Reilly,Brett A. Becker,2
Andrew Luxton-Reilly,Ibrahim Albluwi,2
Brett A. Becker,Ibrahim Albluwi,2
Imran Imran,Jeonghwan Gwak,2
Imran Imran,Muhammad Fayaz,2
Imran Imran,Umar Zaman,2
Jeonghwan Gwak,Muhammad Fayaz,2
Antonino Nocera,Marco Arazzi,2
Antonino Nocera,Serena Nicolazzo,2
Marco Arazzi,Serena Nicolazzo,2
Ing-Ray Chen,Jin-Hee Cho,2
Hong‐Kong T. Nguyen,Quan‐Hoang Vuong,2
Adel Binbusayyis,Thavavel Vaiyapuri,2
Charat Thongprayoon,Jing Miao,2
Charat Thongprayoon,Oscar A. Garcia Valencia,2
Charat Thongprayoon,Supawadee Suppadungsuk,2
Charat Thongprayoon,Wisit Cheungpasitporn,2
Jing Miao,Oscar A. Garcia Valencia,2
Jing Miao,Supawadee Suppadungsuk,2
Jing Miao,Wisit Cheungpasitporn,2
Oscar A. Garcia Valencia,Supawadee Suppadungsuk,2
Oscar A. Garcia Valencia,Wisit Cheungpasitporn,2
Supawadee Suppadungsuk,Wisit Cheungpasitporn,2
Jack Gallifant,Judy Wawira Gichoya,2
Jack Gallifant,Leo Anthony Celi,2
Judy Wawira Gichoya,Leo Anthony Celi,2
Abderahman Rejeb,John G. Keogh,2
John G. Keogh,Karim Rejeb,2
Anna Neya Kazanskaia,Neya Global,2
Björn Bergh,Björn Schreiweis,2
P. S. Aithal,Shubhrajyotsna Aithal,2
Claudio Novelli,Luciano Floridi,2
Bong Jun Choi,Neetesh Saxena,2
Adekunle Oyeyemi Adeniyi,Chioma Anthonia Okolo,2
Adekunle Oyeyemi Adeniyi,Jeremiah Olawumi Arowoogun,2
Adekunle Oyeyemi Adeniyi,Oloruntoba Babawarun,2
Adekunle Oyeyemi Adeniyi,Rawlings Chidi,2
Chioma Anthonia Okolo,Jeremiah Olawumi Arowoogun,2
Chioma Anthonia Okolo,Oloruntoba Babawarun,3
Chioma Anthonia Okolo,Rawlings Chidi,2
Jeremiah Olawumi Arowoogun,Oloruntoba Babawarun,2
Jeremiah Olawumi Arowoogun,Rawlings Chidi,2
Oloruntoba Babawarun,Rawlings Chidi,2
Ambika Pawar,Prathamesh Churi,2
Mario D. Schultz,Peter Seele,3
Annika Jacobsen,Marco Roos,2
Manish Raghavan,Solon Barocas,2
Kamanashis Biswas,Mohammad Jabed Morshed Chowdhury,2
Erkki Harjula,Gaolei Li,2
Erkki Harjula,Ijaz Ahmad,2
Erkki Harjula,Jyrki Huusko,2
Erkki Harjula,Tanesh Kumar,2
Erkki Harjula,Zeeshan Asghar,2
Gaolei Li,Ijaz Ahmad,2
Gaolei Li,Jyrki Huusko,2
Gaolei Li,Tanesh Kumar,2
Gaolei Li,Zeeshan Asghar,2
Ijaz Ahmad,Jyrki Huusko,2
Ijaz Ahmad,Tanesh Kumar,2
Ijaz Ahmad,Zeeshan Asghar,2
Jyrki Huusko,Tanesh Kumar,2
Jyrki Huusko,Zeeshan Asghar,2
Tanesh Kumar,Zeeshan Asghar,2
Akhil P. Joseph,Anithamol Babu,2
Chukwuekem David Okeke,Cynthia Chizoba Ekechi,2
Chukwuekem David Okeke,Michael Oladipo Akinsanya,2
Cynthia Chizoba Ekechi,Michael Oladipo Akinsanya,2
Emeka Chukwu,Lalit Garg,2
Octavian Fratu,Răzvan Crăciunescu,2
Octavian Fratu,Seyed Salar Sefati,2
Octavian Fratu,Simona Halunga,2
Răzvan Crăciunescu,Seyed Salar Sefati,2
Răzvan Crăciunescu,Simona Halunga,2
Seyed Salar Sefati,Simona Halunga,2
Alastair K. Denniston,Xiaoxuan Liu,2
Nguyễn Minh Quý,Nguyễn Tiến Ban,2
Nguyễn Minh Quý,Vũ Khánh Quý,2
Nguyễn Tiến Ban,Vũ Khánh Quý,2
Leonie Maria Tanczer,Madeline Carr,2
Tianming Liu,Zihao Wu,2
Zhengliang Liu,Zihao Wu,2
Karen Renaud,Verena Zimmermann,2
Kalamullah Ramli,Teddy Surya Gunawan,2
Amy L. McGuire,Bartha Maria Knoppers,2
Naurin Farooq Khan,Naveed Ikram,2
Naurin Farooq Khan,Sumera Saleem,2
Naveed Ikram,Sumera Saleem,2
Mahmoud M. Badr,Mohamed Mahmoud,2
Carlos Serôdio,Frederico Branco,2
Carlos Serôdio,Rafael Abreu,2
Frederico Branco,Rafael Abreu,2
Joy Onma Enyejo,Martina Ononiwu,2
Joy Onma Enyejo,Onum Friday Okoh,2
Joy Onma Enyejo,Tony Isioma Azonuche,2
Martina Ononiwu,Onum Friday Okoh,2
Martina Ononiwu,Tony Isioma Azonuche,2
Onum Friday Okoh,Tony Isioma Azonuche,2
Fabian Praßer,Klaus A. Kuhn,2
Anastasia Kozyreva,Ralph Hertwig,2
Anastasia Kozyreva,Stephan Lewandowsky,2
Ralph Hertwig,Stephan Lewandowsky,2
Imdad Ullah,Usman Tariq,2
Anne van Dongen,Dominika Kwaśnicka,2
Anne van Dongen,Gill A. ten Hoor,2
Anne van Dongen,Matti T. J. Heino,2
Dominika Kwaśnicka,Gill A. ten Hoor,2
Dominika Kwaśnicka,Matti T. J. Heino,2
Gill A. ten Hoor,Matti T. J. Heino,2
Ana Cristina Barros,Jaime Bonnín Roca,2
Ana Cristina Barros,Pedro Pinho Senna,2
Jaime Bonnín Roca,Pedro Pinho Senna,2
Bo Shen,Zidong Wang,2
Eric Medvet,Fabio Martinelli,2
Eric Medvet,Francesco Mercaldo,2
Fabio Martinelli,Francesco Mercaldo,2
Charles Chukwudalu Ebulue,Chukwunonso Sylvester Ekesiobi,2
Charles Chukwudalu Ebulue,Francisca Chibugo Udegbe,2
Charles Chukwudalu Ebulue,Ogochukwu Roseline Ebulue,2
Chukwunonso Sylvester Ekesiobi,Francisca Chibugo Udegbe,2
Chukwunonso Sylvester Ekesiobi,Ogochukwu Roseline Ebulue,2
Francisca Chibugo Udegbe,Ogochukwu Roseline Ebulue,2
Christian Ohmann,Harald Wagener,2
Christian Ohmann,Jan‐Willem Boiten,2
Christian Ohmann,Maria Panagiotopoulou,2
Christian Ohmann,Michaela Th. Mayrhofer,2
Christian Ohmann,Petr Holub,2
Christian Ohmann,Romain David,2
Christian Ohmann,Álex Sánchez‐Pla,2
Harald Wagener,Jan‐Willem Boiten,2
Harald Wagener,Maria Panagiotopoulou,2
Harald Wagener,Michaela Th. Mayrhofer,2
Harald Wagener,Petr Holub,2
Harald Wagener,Romain David,2
Harald Wagener,Álex Sánchez‐Pla,2
Jan‐Willem Boiten,Maria Panagiotopoulou,2
Jan‐Willem Boiten,Michaela Th. Mayrhofer,2
Jan‐Willem Boiten,Petr Holub,2
Jan‐Willem Boiten,Romain David,2
Jan‐Willem Boiten,Álex Sánchez‐Pla,2
Maria Panagiotopoulou,Michaela Th. Mayrhofer,2
Maria Panagiotopoulou,Petr Holub,2
Maria Panagiotopoulou,Romain David,2
Maria Panagiotopoulou,Álex Sánchez‐Pla,2
Michaela Th. Mayrhofer,Petr Holub,3
Michaela Th. Mayrhofer,Romain David,2
Michaela Th. Mayrhofer,Álex Sánchez‐Pla,2
Petr Holub,Romain David,2
Petr Holub,Álex Sánchez‐Pla,2
Romain David,Álex Sánchez‐Pla,2
Adedoyin Tolulope Oyewole,Hameedat Bukola Olodo,2
Adedoyin Tolulope Oyewole,Mustafa Ayobami Raji,2
Adedoyin Tolulope Oyewole,Timothy Tolulope Oke,2
Adedoyin Tolulope Oyewole,Wilhelmina Afua Addy,3
Hameedat Bukola Olodo,Mustafa Ayobami Raji,2
Hameedat Bukola Olodo,Onyeka Chrisanctus Ofodile,2
Hameedat Bukola Olodo,Timothy Tolulope Oke,2
Hameedat Bukola Olodo,Wilhelmina Afua Addy,2
Mustafa Ayobami Raji,Onyeka Chrisanctus Ofodile,2
Mustafa Ayobami Raji,Timothy Tolulope Oke,2
Mustafa Ayobami Raji,Wilhelmina Afua Addy,2
Onyeka Chrisanctus Ofodile,Timothy Tolulope Oke,2
Timothy Tolulope Oke,Wilhelmina Afua Addy,2
Jayesh Rane,Nitin Rane,2
Nitin Rane,Saurabh P. Choudhary,2
Hong‐Ning Dai,Muhammad Imran,2
Dorjan Hitaj,Fabio De Gaspari,2
Dorjan Hitaj,Giulio Pagnotta,2
Dorjan Hitaj,Lorenzo De Carli,2
Dorjan Hitaj,Luigi V. Mancini,2
Fabio De Gaspari,Giulio Pagnotta,2
Fabio De Gaspari,Lorenzo De Carli,2
Fabio De Gaspari,Luigi V. Mancini,2
Giulio Pagnotta,Lorenzo De Carli,2
Giulio Pagnotta,Luigi V. Mancini,2
Lorenzo De Carli,Luigi V. Mancini,2
Jameela Al‐Jaroodi,Nader Mohamed,2
Adnan Khalid,Zeeshan Aziz,2
Huned Materwala,Leila Ismail,2
Oya Y. Rieger,Roger Schonfeld,2
Abdul Majeed,Seong Oun Hwang,3
Darshana Upadhyay,Marzia Zaman,2
Divya Siddarth,Jade Leung,2
Divya Siddarth,Jess Whittlestone,2
Divya Siddarth,L. Lawrence Ho,2
Divya Siddarth,Markus Anderljung,2
Divya Siddarth,Noam Kolt,2
Divya Siddarth,Shahar Avin,2
Jade Leung,Jess Whittlestone,2
Jade Leung,L. Lawrence Ho,2
Jade Leung,Markus Anderljung,2
Jade Leung,Noam Kolt,2
Jade Leung,Shahar Avin,2
Jess Whittlestone,L. Lawrence Ho,2
Jess Whittlestone,Markus Anderljung,2
Jess Whittlestone,Noam Kolt,2
Jess Whittlestone,Shahar Avin,2
L. Lawrence Ho,Markus Anderljung,2
L. Lawrence Ho,Noam Kolt,2
L. Lawrence Ho,Shahar Avin,2
Markus Anderljung,Noam Kolt,2
Markus Anderljung,Shahar Avin,2
Noam Kolt,Shahar Avin,2
Chukwuekem David Okeke,Henry Ejiga Adama,2
Aleksandra Pawlicka,Marek Pawlicki,2
Aleksandra Pawlicka,Michał Choraś,2
Abimbola Eunice Ajayi,Ajao Ebenezer Taiwo,2
Abimbola Eunice Ajayi,Amardas Tuboalabo,2
Abimbola Eunice Ajayi,Sylvester Tafirenyika,2
Abimbola Eunice Ajayi,Tahir Tayor Bukhari,2
Abimbola Eunice Ajayi,Thembani Moyo,2
Ajao Ebenezer Taiwo,Amardas Tuboalabo,2
Ajao Ebenezer Taiwo,Sylvester Tafirenyika,2
Ajao Ebenezer Taiwo,Tahir Tayor Bukhari,2
Ajao Ebenezer Taiwo,Thembani Moyo,2
Amardas Tuboalabo,Sylvester Tafirenyika,2
Amardas Tuboalabo,Tahir Tayor Bukhari,2
Amardas Tuboalabo,Thembani Moyo,2
Sylvester Tafirenyika,Tahir Tayor Bukhari,2
Sylvester Tafirenyika,Thembani Moyo,2
Tahir Tayor Bukhari,Thembani Moyo,2
Mahsa Shabani,Pascal Borry,2
Madiha Haider Syed,Semeen Rehman,2
Anca Delia Jurcut,Furqan Rustam,3
Ijaz Ahmad,Syed Attique Shah,2
Elizabeth Davidson,Jenifer Sunrise Winter,2
Bartha Maria Knoppers,Yann Joly,2
Ajayi Abisoye,Joshua Idowu Akerele,2
Patience Okpeke Paul,Toluwalase Vanessa Iyelolu,2
Michaela Th. Mayrhofer,Łukasz Kozera,2
Elisabetta Biasin,Erik Kamenjašević,2
Anca Delia Jurcut,Mahmoud Said Elsayed,2
Bruno Volckaert,Filip De Turck,2
Bruno Volckaert,Tim Wauters,2
Filip De Turck,Tim Wauters,2
Anil Kumar,Jose Arturo Garza‐Reyes,2
Aude Géry,Frédérick Douzet,2
Luis Castedo,Manuel Suárez-Albela,2
Luis Castedo,Paula Fraga‐Lamas,2
Luis Castedo,Tiago M. Fernández‐Caramés,2
Manuel Suárez-Albela,Paula Fraga‐Lamas,2
Manuel Suárez-Albela,Tiago M. Fernández‐Caramés,2
Sung Won Kim,Yousaf Bin Zikria,2
